Status,40080111
Voltage,0.01 (-1.87)
Supply,24.1V / 0.2A/42.6C / 4.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,8,0,-3.62,0,-8,0.049,-0.575
1,5,0,7.53,0,-5,-0.027,-0.049
2,-8,0,-0.34,0,8,0,-0.571
3,3,0,-3.4,0,-2,-0.005,-0.527
4,6,0,1.78,0,-7,0.005,-0.073
5,-8,0,0.5,0,8,-0.018,-0.528
6,0,0,-1.84,0,0,-0.015,-0.619
7,8,0,1.84,0,-8,-0.014,-0.098
8,-8,0,3.64,0,8,0.006,-0.423
9,-2,0,-1.52,0,3,-0.005,-0.583
10,8,0,0.04,0,-8,0.026,-0.061
11,-7,0,3.76,0,7,-0.002,-0.191
12,-4,0,-1.97,0,4,-0.011,-0.69
13,9,0,-0.2,0,-9,0.032,-0.173
14,-5,0,3.15,0,5,-0.039,-0.033
15,-6,0,-1.11,0,6,0.015,-0.657
16,9,0,2.39,0,-9,-0.02,-0.257
17,-1,0,1.95,0,1,0,-0.009
18,-7,0,-0.49,0,7,-0.01,-0.694
19,8,0,-3.28,0,-8,-0.02,-0.468
20,2,0,2.9,0,-3,-0.024,-0.059
21,-8,0,-1.1,0,8,-0.033,-0.664
22,7,0,-3.71,0,-6,0.012,-0.603
23,5,0,2.15,0,-6,0.01,-0.103
24,-8,1,0.21,-3.75,9,0.001,-0.677
25,899,878,-338.53,-332.87,1,0.004,-0.177
26,5124,5080,-921.26,-909.03,1,0.037,-0.19
27,12468,12409,-1198.24,-1199.72,1,0.017,-0.268
28,20467,20408,-1198.2,-1200,1,-0.028,-0.148
29,28468,28408,-1190.01,-1200,1,-0.069,-0.158
30,36467,36408,-1199.29,-1200,0,0.009,-0.219
31,44468,44409,-1199.54,-1200,1,0.01,-0.312
32,52468,52429,-1199.76,-1200,0,-0.037,-0.19
33,60468,60428,-1191.36,-1200,0,-0.038,-0.17
34,68467,68428,-1221.03,-1200,1,-0.041,-0.246
35,76467,76448,-1199.74,-1200,0,-0.015,-0.207
36,84466,84427,-1221.96,-1200,0,0.011,-0.223
37,92466,92447,-1216.36,-1200,0,-0.024,-0.198
38,100465,100426,-1199.49,-1200,0,-0.031,-0.107
39,108466,108446,-1191.82,-1200,0,-0.016,-0.21
40,116466,116446,-1197.94,-1200,0,-0.037,-0.138
41,124465,124466,-1215.87,-1200,0,0.028,-0.257
42,132465,132466,-1201.87,-1200,0,-0.021,-0.208
43,140466,140446,-1198.6,-1200,0,-0.034,-0.204
44,148465,148465,-1198.52,-1195.74,-1,-0.03,-0.207
45,155567,155580,-861.35,-860.53,0,-0.011,-0.194
46,159340,159347,-313.78,-285.98,4,0.031,-0.2
47,159992,160000,2.31,-0.1,2,-0.003,0.215
48,159408,159403,289.54,260.51,-2,-0.021,0.034
49,155768,155753,862.45,834.24,0,-0.01,0.107
50,146752,148709,1191.62,1191.37,0,0.038,0.258
51,138752,140712,1196.56,1200,0,0.092,0.286
52,130752,132712,1176.45,1200,1,-0.021,0.246
53,122752,124712,1200.4,1200,0,0.028,0.179
54,114751,116692,1175.9,1200,1,0.01,0.219
55,106752,108711,1197.51,1200,0,-0.041,0.219
56,98752,100692,1200.03,1200,0,0.011,0.232
57,90753,92692,1176.91,1200,1,-0.037,0.119
58,82753,84692,1199.96,1200,0,-0.013,0.17
59,74753,76673,1201.28,1200,0,-0.016,0.181
60,66753,68693,1208.15,1200,-1,0.051,0.252
61,58754,60694,1199.64,1200,0,-0.009,0.201
62,50753,52674,1200.15,1200,0,-0.002,0.15
63,42753,44674,1199.81,1200,0,-0.027,0.216
64,34754,36654,1191.33,1200,0,-0.041,0.171
65,26755,28674,1199.38,1200,0,0.025,0.201
66,18754,20654,1199.39,1200,0,-0.017,0.22
67,10760,12654,1183.61,1200,0,-0.001,0.193
68,3895,5252,926.09,933.4,1,0.003,0.231
69,495,949,214.97,360.39,-6,0.022,0.241
70,-8,2,1.7,7.2,10,-0.016,-0.339
71,774,377,-344.25,-193.7,1,0.013,-0.692
72,4777,3488,-894.33,-753.42,1,-0.044,-0.135
73,12009,10147,-1201.23,-1170.52,0,0.02,-0.247
74,20008,18148,-1177.4,-1200,-1,-0.009,-0.289
75,28007,26128,-1208.88,-1200,0,-0.017,-0.259
76,36008,34128,-1200.39,-1200,0,-0.01,-0.24
77,44009,42168,-1186.84,-1200,0,0.013,-0.176
78,52009,50189,-1200.38,-1200,0,0.056,-0.289
79,60007,58189,-1217.84,-1200,1,-0.001,-0.228
80,68009,66208,-1185.97,-1200,0,-0.029,-0.237
81,76008,74208,-1200.3,-1200,-1,-0.006,-0.12
82,84007,82207,-1199.49,-1200,0,-0.067,-0.206
83,92007,90207,-1200.68,-1200,0,-0.01,-0.325
84,100006,98206,-1200.55,-1200,0,-0.017,-0.213
85,108006,106206,-1200.73,-1200,0,-0.021,-0.235
86,116006,114226,-1214.65,-1200,0,0.007,-0.237
87,124006,122226,-1200.23,-1200,0,0.011,-0.289
88,132005,130246,-1207.82,-1200,0,-0.017,-0.165
89,140006,138226,-1200.77,-1200,0,0.001,-0.215
90,148006,146246,-1200.1,-1200,-1,0.005,-0.195
91,155233,153833,-897.37,-999.74,0,-0.023,-0.156
92,159227,158676,-281.22,-439.49,1,0.014,-0.181
93,159999,159984,-2.08,-26.36,-2,-0.031,-0.096
94,159506,159775,248.98,137.98,1,-0.018,0.083
95,156082,157158,793.37,672.47,0,0.004,0.153
96,149204,150914,1180.71,1139.68,-1,-0.015,0.251
97,141212,142952,1200.19,1200,0,-0.028,0.214
98,133212,134952,1200.46,1200,-1,0.011,0.274
99,125212,126932,1200.99,1200,0,-0.035,0.181
100,117212,118932,1209.06,1200,-1,0.029,0.246
101,109211,110931,1200.37,1200,-1,-0.024,0.272
102,101212,102931,1209.08,1200,0,-0.013,0.176
103,93212,94912,1198.3,1200,0,0.013,0.167
104,85213,86912,1203.6,1200,0,0.009,0.218
105,77213,78913,1194.25,1200,0,0.016,0.277
106,69213,70913,1177.54,1200,-1,0.018,0.176
107,61214,62894,1183.69,1200,0,-0.007,0.195
108,53214,54914,1200.56,1200,0,-0.007,0.28
109,45214,46914,1200.7,1200,-1,-0.015,0.223
110,37214,38894,1200.67,1200,0,-0.018,0.165
111,29213,30874,1177.54,1200,0,0.055,0.295
112,21214,22874,1217.16,1200,0,-0.006,0.254
113,13212,14874,1177.76,1200,0,0.035,0.245
114,5708,7108,961.52,1058.27,1,0.043,0.24
115,1135,1751,369.93,520.25,-3,-0.017,0.189
116,-1,53,41.26,55.88,-9,-0.012,-0.087
117,292,118,-159.41,-89.87,6,0.042,-0.711
118,3156,2248,-718.8,-590.15,0,-0.027,-0.176
119,9623,8056,-1150.29,-1099.48,1,0.054,-0.139
120,17588,15969,-1199.64,-1200,1,-0.038,-0.265
121,25588,23948,-1199.63,-1200,0,-0.016,-0.238
122,33588,31968,-1198.63,-1200,0,-0.035,-0.216
123,41588,39948,-1200.11,-1200,0,-0.017,-0.212
124,49589,47989,-1176.04,-1200,-1,-0.011,-0.223
125,57589,55989,-1199.91,-1200,-1,-0.029,-0.209
126,65588,63988,-1197.91,-1200,0,0.046,-0.204
127,73588,71988,-1199.33,-1200,-1,-0.014,-0.14
128,81587,79988,-1199.41,-1200,0,0.001,-0.25
129,89586,87987,-1201.26,-1200,-1,0.034,-0.2
130,97586,96006,-1176.33,-1200,0,0.006,-0.202
131,105586,104006,-1182.45,-1200,0,0.002,-0.29
132,113586,111986,-1199.11,-1200,-1,-0.032,-0.244
133,121586,120026,-1199.61,-1200,1,0.06,-0.253
134,129586,128026,-1199.41,-1200,0,0.018,-0.243
135,137586,136006,-1198.8,-1200,0,0.025,-0.201
136,145586,144006,-1178.81,-1200,0,0.075,-0.229
137,153293,151902,-1025.68,-1107.03,-1,0.005,-0.245
138,158431,157730,-489.21,-604.01,0,-0.03,-0.166
139,159967,159882,-39.75,-96.48,0,0.005,-0.153
140,159841,159949,111.17,52,-4,-0.002,0.041
141,157507,158242,624.14,509.49,0,-0.044,0.155
142,151499,152897,1128.89,1050.19,0,-0.02,0.202
143,143592,145131,1200.38,1200,0,0.031,0.217
144,135592,137112,1200.95,1200,0,0.064,0.242
145,127592,129112,1176.32,1200,1,-0.022,0.218
146,119592,121092,1183.3,1200,0,0.026,0.173
147,111591,113111,1206.56,1200,0,0.009,0.227
148,103591,105091,1200.29,1200,0,-0.004,0.284
149,95592,97092,1200.53,1200,0,-0.012,0.184
150,87592,89092,1183.64,1200,0,0.03,0.19
151,79592,81072,1183.56,1200,0,0.002,0.188
152,71593,73093,1199.78,1200,0,0.002,0.219
153,63594,65074,1200.99,1200,0,0.022,0.198
154,55595,57074,1200.5,1200,1,-0.01,0.16
155,47594,49074,1183.26,1200,0,0.025,0.203
156,39594,41054,1200.43,1200,0,-0.009,0.232
157,31594,33054,1200.88,1200,0,-0.003,0.181
158,23595,25074,1199.84,1200,1,0.007,0.211
159,15594,17074,1201,1200,0,0.074,0.297
160,7750,9129,1081.4,1145.6,2,0.009,0.271
161,2088,2845,577.23,684.72,-1,0.008,0.214
162,103,223,92,144.98,-7,0.005,0.032
163,60,17,-43.36,-24.53,14,-0.022,-0.656
164,1906,1315,-538.33,-429.05,2,-0.016,-0.17
165,7404,6147,-1078.67,-991.58,0,-0.003,-0.235
166,15209,13789,-1202.22,-1200,-1,-0.034,-0.233
167,23209,21768,-1177.08,-1200,0,-0.017,-0.19
168,31209,29788,-1200.91,-1200,0,-0.024,-0.168
169,39209,37788,-1199.02,-1200,0,-0.032,-0.181
170,47210,45809,-1202.1,-1200,0,0.014,-0.192
171,55210,53789,-1201.34,-1200,0,0.002,-0.238
172,63209,61788,-1200.01,-1200,0,-0.038,-0.23
173,71208,69808,-1217.17,-1200,0,-0.013,-0.219
174,79208,77788,-1199.22,-1200,0,-0.023,-0.216
175,87208,85827,-1199.76,-1200,1,0.021,-0.304
176,95206,93807,-1223.46,-1200,0,-0.016,-0.22
177,103206,101846,-1208.72,-1200,0,-0.011,-0.201
178,111207,109846,-1201.53,-1200,0,0.04,-0.223
179,119207,117846,-1200,-1200,0,0.04,-0.196
180,127206,125826,-1202.79,-1200,0,-0.025,-0.189
181,135206,133846,-1217.37,-1200,0,0.003,-0.206
182,143207,141846,-1200.45,-1200,-1,0.013,-0.187
183,151138,149828,-1140.03,-1174.66,0,-0.017,-0.172
184,157300,156509,-683.84,-763.9,-1,-0.031,-0.149
185,159803,159619,-104.56,-204.01,1,-0.013,0.003
186,159977,159997,30.81,6.91,1,0.029,0.176
187,158582,159035,456.48,354.57,-1,0.011,0.174
188,153619,154720,995.34,926.84,-1,0.039,0.238
189,145971,147291,1200.13,1200,1,-0.001,0.1
190,137972,139312,1207.28,1200,1,0.003,0.186
191,129972,131292,1199.04,1200,0,0.019,0.126
192,121973,123272,1201.75,1200,0,0.01,0.185
193,113971,115311,1199.15,1200,0,-0.009,0.144
194,105971,107311,1199.89,1200,0,0,0.144
195,97972,99272,1207.99,1200,0,0.007,0.213
196,89972,91272,1199.51,1200,0,-0.021,0.171
197,81972,83252,1199.58,1200,0,-0.011,0.211
198,73973,75273,1199.11,1200,-1,0.019,0.217
199,65974,67253,1198.79,1200,0,0.009,0.22
200,57974,59254,1216.8,1200,0,-0.027,0.211
201,49974,51234,1199.3,1200,-1,0.033,0.268
202,41974,43234,1216.58,1200,0,-0.006,0.183
203,33973,35234,1200.08,1200,0,0.02,0.214
204,25974,27234,1201.58,1200,0,0.006,0.213
205,17974,19234,1202.69,1200,0,0.018,0.22
206,9995,11237,1176.78,1192.42,0,-0.014,0.263
207,3391,4208,726.08,840.08,0,-0.049,0.171
208,361,589,213.94,267.03,-6,-0.015,0.096
209,-8,0,1.52,0,8,-0.014,-0.611
210,947,624,-355.3,-269.23,-1,-0.005,-0.327
211,5248,4331,-920.7,-842.5,2,0.005,-0.273
212,12628,11411,-1199.12,-1192.82,0,-0.031,-0.196
213,20627,19408,-1222.32,-1200,-1,-0.053,-0.236
214,28628,27408,-1181.89,-1200,0,-0.019,-0.248
215,36627,35428,-1199.43,-1200,-1,0.026,-0.227
216,44628,43428,-1201.67,-1200,-1,0.024,-0.321
217,52629,51429,-1198.63,-1200,-1,0.012,-0.232
218,60627,59428,-1199.84,-1200,-1,-0.041,-0.228
219,68627,67408,-1201.83,-1200,0,0.022,-0.251
220,76628,75448,-1182.28,-1200,0,0.009,-0.201
221,84626,83447,-1200.96,-1200,0,0.017,-0.221
222,92626,91427,-1200.5,-1200,-1,0.006,-0.262
223,100625,99466,-1199.04,-1200,0,-0.009,-0.258
224,108625,107446,-1201.9,-1200,0,-0.025,-0.199
225,116625,115446,-1216.09,-1200,0,-0.01,-0.272
226,124625,123466,-1198.46,-1200,0,0.006,-0.217
227,132625,131466,-1201.04,-1200,0,0.07,-0.307
228,140626,139466,-1199.12,-1200,-1,-0.056,-0.177
229,148624,147486,-1199.15,-1200,-2,-0.027,-0.142
230,155681,154825,-821,-925.88,-1,-0.02,-0.247
231,159378,159086,-246.42,-352.17,2,0.049,-0.204
232,159998,159998,2.01,-6.09,-1,0.028,0.176
233,159368,159599,254.42,201.49,1,0.043,0.254
234,155641,156397,848.21,764.99,1,-0.011,0.158
235,148570,149696,1199.02,1174.13,0,-0.068,0.183
236,140571,141712,1200.39,1200,0,-0.005,0.26
237,132572,133692,1200.43,1200,0,-0.031,0.124
238,124572,125672,1200.77,1200,1,-0.01,0.153
239,116571,117672,1199.27,1200,0,0.007,0.196
240,108572,109691,1216.67,1200,0,0.022,0.147
241,100573,101671,1217.59,1200,-1,-0.024,0.257
242,92572,93652,1200.75,1200,0,0.021,0.19
243,84572,85652,1200.54,1200,0,-0.038,0.226
244,76574,77653,1202.7,1200,0,0.052,0.205
245,68573,69653,1177.21,1200,0,0.013,0.219
246,60574,61654,1199.67,1200,1,-0.011,0.248
247,52574,53634,1200.74,1200,0,0.06,0.192
248,44574,45654,1200.46,1200,0,0.001,0.22
249,36574,37634,1201,1200,0,-0.019,0.192
250,28574,29634,1200.36,1200,0,0.046,0.255
251,20574,21654,1200,1200,1,-0.022,0.217
252,12573,13634,1200.39,1200,1,-0.036,0.199
253,5204,6068,913.9,992.99,1,0.024,0.265
254,936,1274,372.91,430.84,-3,-0.012,0.139
255,6,13,2.69,23.37,-15,0.031,0.013
256,-9,0,-1.2,0,9,-0.002,-0.581
257,5,0,-11.6,0,-1,0.016,-0.61
258,7,0,-0.53,0,-8,-0.006,0.023
259,-9,0,2.2,0,9,-0.013,-0.508
260,2,0,-0.96,0,1,0,-0.655
261,8,0,1.72,0,-9,0.016,-0.013
262,-9,0,0.81,0,9,-0.024,-0.348
263,-1,0,-2,0,3,0.004,-0.662
264,9,0,1.03,0,-9,0.016,0.026
265,-3,0,-3.58,0,6,-0.022,-0.629
266,9,0,0.56,0,-10,-0.025,-0.093
267,-9,0,4.47,0,5,0.017,0.026
268,-5,0,-0.93,0,7,-0.007,-0.642
269,9,0,-1.44,0,-9,-0.006,-0.152
270,-5,0,4.13,0,0,-0.015,0.02
271,-7,0,-1.5,0,8,-0.001,-0.718
272,9,0,-1.22,0,-9,-0.003,-0.238
273,-1,0,3.44,0,-3,-0.014,-0.004
274,-8,0,-1.3,0,9,-0.001,-0.602
275,9,0,-2.69,0,-8,0.043,-0.523
276,2,0,2.51,0,-5,0.005,0.018
277,-9,0,-2.89,0,10,0.018,-0.575
278,9,0,-3.44,0,-8,0.034,-0.593
279,5,0,2.26,0,-7,-0.001,0.029
280,-9,0,-0.02,0,9,0.011,-0.605
281,7,0,-4.34,0,-2,-0.036,-0.585
282,6,0,2.26,0,-8,-0.006,-0.004
283,-10,0,-1.6,0,10,-0.003,-0.387
284,4,0,-2.26,0,0,-0.049,-0.573
285,8,0,1.06,0,-9,0.025,-0.023
286,-9,0,1.12,0,9,-0.018,-0.265
287,-1,0,-1.66,0,3,0.039,-0.692
288,8,0,0.71,0,-9,0.044,-0.015
289,-9,0,3.75,0,9,0.025,-0.006
290,-2,0,-3.35,0,5,0.027,-0.657
291,9,0,-0.61,0,-9,0.008,-0.012
292,-9,0,4.21,0,7,-0.002,0.05
293,-4,0,-1.12,0,6,-0.024,-0.616
294,9,0,-0.13,0,-9,0.011,-0.102
295,-6,0,-2.75,0,6,0.024,-0.671
296,9,0,-0.72,0,-9,-0.02,-0.052
297,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0
595,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0
