Status,40080111
Voltage,0.05 (-0.24)
Supply,24.1V / 0.2A/41.7C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,0,0,20.76,0,0,-0.007,-0.032
1,0,0,16.49,0,1,-0.005,-0.035
2,0,0,0.2,0,0,0.017,-0.049
3,0,0,0.15,0,0,0,-0.079
4,0,0,0.44,0,0,-0.024,-0.04
5,0,0,-0.57,0,0,0.01,-0.055
6,0,0,-0.06,0,0,-0.021,-0.036
7,0,0,0.21,0,0,0.006,-0.045
8,0,0,0.14,0,0,-0.038,-0.048
9,0,0,0,0,0,0.007,-0.031
10,0,0,-0.02,0,0,-0.013,-0.053
11,0,0,0.35,0,0,0.008,-0.037
12,0,0,0.19,0,0,0.043,-0.042
13,0,0,0.19,0,0,-0.004,-0.05
14,0,0,-0.23,0,0,-0.032,-0.05
15,0,0,3.65,0,0,-0.017,-0.048
16,-1,0,-0.05,0,1,0.012,-0.054
17,-1,0,0.02,0,1,-0.003,-0.062
18,-1,0,-0.34,0,1,-0.005,-0.057
19,-1,0,0.06,0,1,0.021,-0.067
20,-1,0,-0.09,0,1,-0.017,-0.067
21,-1,0,-0.35,0,1,-0.012,-0.077
22,-1,0,0.93,0,1,-0.029,-0.086
23,-1,0,0.13,0,1,-0.004,-0.061
24,-1,0,-0.37,0,1,-0.02,-0.083
25,-1,0,0.3,0,1,0.01,-0.079
26,-1,0,0.04,0,1,-0.001,-0.095
27,-1,0,-0.26,0,1,-0.03,-0.094
28,-1,0,-0.44,0,1,-0.003,-0.083
29,-1,0,-0.42,0,1,-0.012,-0.122
30,-1,0,-0.29,0,1,0.016,-0.068
31,0,0,0.96,0,0,0.023,-0.114
32,0,0,0.73,0,0,-0.002,-0.099
33,2,0,0.61,0,-1,-0.004,-0.117
34,5,0,-0.37,0,-4,-0.024,-0.099
35,43,9,-28.62,-11.95,-2,0.019,-0.096
36,839,547,-241.87,-174.58,5,-0.015,-0.034
37,3222,2556,-470.32,-424.26,-6,-0.01,-0.108
38,6906,6039,-595.83,-587.87,0,0.009,-0.069
39,10908,10041,-595.64,-600,-1,-0.009,-0.087
40,14904,14041,-597.51,-600,1,-0.021,-0.037
41,18904,18041,-599.2,-600,0,-0.002,-0.076
42,22904,22031,-579.33,-600,0,0.011,-0.091
43,26904,26050,-578.66,-600,-3,0.028,-0.108
44,30903,30050,-598.6,-600,-5,-0.019,-0.124
45,34901,34050,-566.8,-600,-1,0.032,-0.08
46,38899,38039,-596.91,-600,-3,0.01,-0.082
47,42901,42049,-602.51,-600,-5,0.013,-0.084
48,46899,46059,-578.67,-600,-3,-0.014,-0.093
49,50900,50049,-588.7,-600,-4,0.021,-0.12
50,54899,54050,-598.48,-600,-3,0.011,-0.078
51,58896,58059,-598.5,-600,-2,0.029,-0.099
52,62894,62059,-599.5,-600,-4,-0.014,-0.153
53,66624,65915,-483.3,-526.2,-6,-0.018,-0.087
54,69089,68705,-243.2,-298.09,-9,0,-0.113
55,70000,69871,-18.32,-71.3,-44,-0.01,-0.107
56,69981,69999,12.64,3.28,-12,-0.036,0.032
57,69397,69619,196.83,138.99,-3,0.014,0.068
58,67306,67872,430.19,386.32,-4,0.014,0.092
59,63778,64582,582.57,573.6,1,-0.013,0.081
60,59781,60600,603.15,600,1,0.013,0.114
61,55783,56599,599.95,600,-1,-0.01,0.065
62,51781,52589,599.05,600,-2,-0.026,0.093
63,47780,48589,589.75,600,-3,-0.018,0.086
64,43783,44590,600.97,600,-5,0.003,0.06
65,39782,40590,600.24,600,-4,-0.01,0.095
66,35781,36580,603.17,600,-3,-0.029,0.078
67,31784,32581,623.8,600,-4,0.01,0.089
68,27785,28581,633.51,600,-5,-0.023,0.072
69,23784,24581,633.29,600,-4,-0.016,0.038
70,19782,20581,598.08,600,-4,-0.022,0.065
71,15781,16570,610.06,600,-4,-0.002,0.074
72,11781,12581,603.03,600,-4,-0.017,0.065
73,7780,8571,603.6,600,-4,0,0.085
74,3945,4649,534.76,550.7,-3,0.002,0.114
75,1206,1627,300.7,338.54,14,-0.011,0.114
76,47,217,61.6,100.04,43,0,0.08
77,8,0,-0.07,0,-7,0.014,-0.093
78,382,228,-151.41,-100.03,0,-0.021,-0.07
79,2140,1672,-397.04,-338.53,5,-0.004,-0.06
80,5435,4704,-560.41,-549.99,4,-0.013,-0.092
81,9410,8640,-580.51,-600,3,-0.032,-0.085
82,13411,12641,-603.01,-600,0,-0.06,-0.088
83,17411,16651,-566.99,-600,2,-0.039,-0.072
84,21411,20651,-611.67,-600,0,-0.022,-0.098
85,25411,24640,-599.51,-600,3,-0.049,-0.057
86,29414,28650,-567.85,-600,-2,-0.022,-0.101
87,33410,32650,-600.05,-600,0,-0.026,-0.09
88,37412,36650,-603.48,-600,0,-0.04,-0.082
89,41411,40659,-604.2,-600,1,-0.013,-0.064
90,45413,44659,-601.35,-600,-1,-0.041,-0.089
91,49413,48659,-580.36,-600,2,-0.014,-0.102
92,53413,52660,-601.46,-600,1,-0.021,-0.07
93,57411,56660,-601.54,-600,1,-0.033,-0.042
94,61412,60659,-603.37,-600,0,-0.035,-0.06
95,65333,64640,-558.5,-574.13,0,-0.065,-0.09
96,68367,67911,-320.12,-386.95,-4,-0.005,-0.1
97,69812,69633,-122.42,-139.54,-22,0.001,-0.048
98,70011,69999,-0.12,-3.1,-12,0.032,0.035
99,69747,69862,110.63,72.13,-2,0.015,0.1
100,68265,68660,362.97,298.72,2,0.028,0.086
101,65183,65845,547.77,526.62,1,0.015,0.065
102,61248,61970,600.38,600,2,-0.001,0.076
103,57247,57959,579.92,600,1,-0.03,0.079
104,53248,53969,599.48,600,3,0.034,0.088
105,49250,49969,600.32,600,4,0.002,0.081
106,45250,45970,600.22,600,2,0.016,0.07
107,41250,41960,600.69,600,4,-0.023,0.095
108,37249,37960,589.24,600,2,0.024,0.106
109,33251,33960,596.3,600,3,0.008,0.076
110,29251,29961,601.26,600,2,-0.011,0.107
111,25249,25961,597.77,600,5,-0.024,0.105
112,21250,21961,600.63,600,4,0.005,0.091
113,17249,17950,601.31,600,4,-0.002,0.111
114,13249,13950,600.45,600,4,-0.014,0.107
115,9249,9961,601.62,600,4,-0.009,0.11
116,5282,5960,546.7,587.69,4,-0.006,0.095
117,2028,2506,382.37,423.68,7,0.021,0.083
118,317,527,129.1,174.01,22,-0.033,0.05
119,7,7,-0.51,11.25,1,-0.003,-0.064
120,148,74,-59.14,-48.26,-4,-0.023,-0.092
121,1359,1041,-308.14,-258.3,6,-0.017,-0.061
122,4193,3607,-507.82,-497.57,0,0.005,-0.109
123,8066,7390,-600.55,-600,-2,0.03,-0.101
124,12068,11401,-600.78,-600,-4,-0.005,-0.073
125,16068,15401,-600.65,-600,-2,0.027,-0.064
126,20066,19401,-600.91,-600,1,0.004,-0.131
127,24069,23400,-599.73,-600,-1,0.014,-0.086
128,28068,27400,-600.36,-600,0,-0.009,-0.065
129,32066,31400,-632.75,-600,0,0.004,-0.105
130,36067,35400,-598.73,-600,1,-0.009,-0.085
131,40066,39409,-599.49,-600,2,0.012,-0.116
132,44066,43409,-633.23,-600,2,0.003,-0.103
133,48065,47409,-597.55,-600,3,-0.017,-0.068
134,52067,51399,-599.93,-600,2,-0.007,-0.079
135,56067,55420,-600.13,-600,4,-0.004,-0.075
136,60069,59419,-601.15,-600,5,-0.014,-0.086
137,64059,63418,-581.27,-596.52,5,0.001,-0.064
138,67507,67032,-430.97,-459.94,4,0.015,-0.075
139,69495,69269,-162.28,-212.47,-12,-0.013,-0.061
140,70011,69975,0.15,-24.85,-36,0.019,-0.047
141,69921,69966,69.27,28.56,7,-0.009,0.112
142,68954,69215,258.46,218.02,-1,-0.007,0.059
143,66381,66893,488,465.34,-1,0.03,0.056
144,62607,63239,597.88,597.51,-3,0.026,0.09
145,58607,59249,602.72,600,0,-0.015,0.042
146,54607,55239,632.85,600,-1,0.014,0.075
147,50607,51239,634.19,600,0,0.012,0.09
148,46608,47229,600.26,600,0,-0.006,0.099
149,42608,43230,600.36,600,-1,0.004,0.078
150,38606,39230,600.56,600,0,-0.006,0.076
151,34609,35230,632.5,600,-1,0.005,0.11
152,30610,31231,609.79,600,-2,-0.015,0.122
153,26609,27231,602.35,600,-2,0.007,0.087
154,22610,23221,601.83,600,-1,-0.012,0.107
155,18609,19221,632.32,600,-1,-0.02,0.113
156,14611,15220,600.77,600,-1,-0.023,0.104
157,10610,11221,597.04,600,-1,-0.016,0.118
158,6611,7211,599.92,599.96,-1,0.001,0.052
159,2986,3475,472.78,493.19,4,-0.019,0.078
160,718,973,213.24,251.94,19,-0.033,0.077
161,8,61,17.08,43.81,47,-0.002,0.093
162,24,10,-35.82,-12.32,-1,-0.012,-0.056
163,740,550,-232.02,-175.16,3,0.014,-0.039
