,Positive Current M1(mA),Negative Current M1(mA),Positive Current M2(mA),Negative Current M2(mA),Positive Current M3(mA),Negative Current M3(mA),Positive Current M4(mA),Negative Current M4(mA),Positive Current M5(mA),Negative Current M5(mA),Positive Current M6(mA),Negative Current M6(mA),Positive Current M7(mA),Negative Current M7(mA),Positive Current M8(mA),Negative Current M8(mA),Positive Current M9(mA),Negative Current M9(mA),Positive Current M10(mA),Negative Current M10(mA),Positive Current M11(mA),Negative Current M11(mA),Positive Current M12(mA),Negative Current M12(mA),Positive Current M13(mA),Negative Current M13(mA)
-1.0,0.0,-320.0,0.0,-337.0,0.0,-281.0,0.0,-224.0,0.0,-275.0,0.0,-277.0,0.0,-269.0,0.0,-318.0,0.0,-246.0,0.0,-273.0,0.0,-522.0,0.0,-305.0,0.0,-258.0
-1.0,0.0,-256.0,0.0,-274.0,0.0,-213.0,0.0,-211.0,0.0,-163.0,0.0,-210.0,0.0,-218.0,0.0,-228.0,0.0,-180.0,0.0,-230.0,0.0,-956.0,0.0,-219.0,0.0,-438.0
-1.0,0.0,-240.0,0.0,-197.0,0.0,-175.0,0.0,-159.0,0.0,-149.0,0.0,-155.0,0.0,-198.0,0.0,-214.0,0.0,-173.0,0.0,-162.0,0.0,-1290.0,0.0,-172.0,0.0,-912.0
-1.0,0.0,-191.0,0.0,-260.0,0.0,-163.0,0.0,-383.0,0.0,-396.0,0.0,-288.0,100.0,-207.0,4.0,-251.0,44.0,-186.0,0.0,-189.0,0.0,-1487.0,8.0,-218.0,0.0,-1166.0
-1.0,220.0,-128.0,270.0,-179.0,181.0,-171.0,167.0,-287.0,238.0,-366.0,168.0,-237.0,626.0,-614.0,210.0,-102.0,239.0,-105.0,435.0,-593.0,175.0,-1165.0,209.0,-148.0,438.0,-1123.0
-1.0,254.0,0.0,251.0,0.0,173.0,0.0,184.0,0.0,191.0,0.0,205.0,0.0,249.0,0.0,239.0,0.0,218.0,0.0,222.0,0.0,170.0,-20.0,213.0,0.0,200.0,0.0
-1.0,270.0,0.0,274.0,0.0,198.0,0.0,224.0,0.0,251.0,0.0,216.0,0.0,216.0,0.0,231.0,0.0,175.0,0.0,231.0,0.0,160.0,0.0,286.0,0.0,232.0,0.0
-1.0,316.0,0.0,281.0,0.0,227.0,0.0,265.0,0.0,249.0,0.0,261.0,0.0,277.0,0.0,284.0,0.0,254.0,0.0,272.0,0.0,286.0,0.0,312.0,0.0,246.0,0.0
23749.125,0.0,-320.0,0.0,-335.0,0.0,-288.0,0.0,-266.0,0.0,-298.0,0.0,-252.0,0.0,-284.0,0.0,-301.0,0.0,-259.0,0.0,-261.0,0.0,-282.0,0.0,-251.0,0.0,-258.0
23749.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23749.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23749.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
