Status,40080111
Voltage,-0.13 (0.03)
Supply,24.2V / 0.2A/38.4C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,3,0,0.13,0,-4,0.001,0.069
1,0,0,0.51,0,-1,0.022,0.038
2,-3,0,0.42,0,2,0.001,0.02
3,-5,0,0.68,0,5,-0.032,-0.091
4,-4,0,0.21,0,4,0.002,-0.108
5,-2,0,-0.45,0,2,0.008,-0.119
6,2,0,-0.78,0,-1,-0.001,-0.089
7,4,0,-0.02,0,-4,0.004,-0.024
8,5,0,-0.84,0,-5,-0.002,0.031
9,3,0,0,0,-4,-0.013,0.088
10,0,0,0.15,0,-1,0.025,0.023
11,-3,0,0.45,0,3,0.007,0.04
12,-5,0,-1.04,0,5,-0.019,-0.012
13,-4,0,-0.36,0,4,0.001,-0.072
14,-2,0,-0.78,0,2,0.018,-0.112
15,2,0,0.14,0,-1,0.027,-0.023
16,4,0,-0.13,0,-4,0.004,-0.019
17,5,0,-0.67,0,-5,0.016,0.039
18,3,0,0.61,0,-3,0.007,0.072
19,0,0,0.04,0,0,-0.012,0.062
20,-3,0,4.58,0,3,-0.003,0.013
21,-4,0,9.43,0,5,0.038,-0.098
22,-4,0,-0.66,0,4,0.004,-0.085
23,-1,0,-1.73,0,2,0.013,-0.078
24,2,0,-0.23,0,-2,-0.014,-0.045
25,4,0,-0.19,0,-4,0.011,-0.023
26,4,0,0.02,0,-5,0.002,0.025
27,3,0,-0.18,0,-3,0,0.076
28,-1,0,0.3,0,0,0.007,0.036
29,-4,0,0.1,0,3,0.017,-0.018
30,-5,0,0.28,0,4,0.001,-0.088
31,-4,0,0.13,0,4,0.018,-0.109
32,-1,0,-0.9,0,2,0.019,-0.024
33,2,0,0.01,0,-2,-0.02,-0.071
34,4,0,-0.4,0,-4,0.024,0.024
35,4,0,-0.24,0,-5,-0.011,-0.001
36,2,0,-8.91,0,-3,0.005,0.087
