Status,40080111
Voltage,-0.01 (-0.10)
Supply,24.2V / 0.2A/38.7C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,0,0,-0.15,0,0,-0.037,-0.001
1,1,0,0.67,0,0,-0.017,-0.024
2,0,0,-1.53,0,-1,0.007,0.04
3,1,0,0.5,0,0,-0.002,0.014
4,0,0,-0.16,0,0,0.005,0.025
5,0,0,0.47,0,0,-0.001,0.001
6,-1,0,-8.75,0,0,0.032,-0.014
7,0,0,4,0,1,0.032,0.05
8,-1,0,-8.52,0,0,-0.018,-0.017
9,-1,0,0.13,0,0,-0.029,-0.011
10,0,0,0.13,0,0,-0.005,-0.013
11,0,0,-0.09,0,0,0.019,0
12,0,0,-7.65,0,-1,-0.004,-0.015
13,0,0,-0.83,0,-1,0.006,0.029
14,1,0,6.94,0,0,-0.037,0.055
15,0,0,-0.2,0,0,0.001,0.026
16,0,0,0.32,0,0,-0.004,0.006
17,0,0,6.76,0,0,-0.018,-0.02
18,-1,0,-1.02,0,0,-0.014,-0.039
19,0,0,3.72,0,1,0.05,0.007
20,0,0,-0.21,0,1,0.003,-0.035
21,0,0,-0.23,0,0,0.002,-0.035
22,0,0,-0.3,0,0,0.011,0.009
23,0,0,-7.26,0,0,-0.001,-0.007
24,1,0,8.56,0,-1,0.019,0.028
25,0,0,-7.97,0,0,-0.021,-0.01
26,0,0,-0.49,0,0,0.014,0.016
27,0,0,0.03,0,0,0.007,0
28,-1,0,-0.53,0,0,0.006,0.008
29,0,0,7.01,0,0,-0.001,0.026
30,-1,0,-7.5,0,1,-0.011,-0.018
31,-1,0,-1.03,0,0,0.035,-0.013
32,0,0,0.16,0,0,0.005,-0.02
33,0,0,-0.15,0,0,-0.01,0.014
34,1,0,8.74,0,-1,0.008,-0.001
35,1,0,0.85,0,0,0.02,0.035
36,0,0,-3.58,0,0,0.013,-0.012
37,0,0,-0.14,0,0,-0.002,0.024
38,0,0,0.29,0,0,0.008,-0.001
39,0,0,0.32,0,0,-0.01,0.012
40,0,0,7.66,0,0,-0.002,-0.014
41,0,0,0.97,0,0,-0.015,0.014
42,0,0,0.76,0,1,0.017,0.006
43,0,0,-0.01,0,0,0.001,-0.012
44,0,0,0.01,0,0,0.003,-0.018
45,1,0,7.86,0,-1,0,-0.016
46,1,0,1.18,0,-1,-0.04,0.001
47,0,0,-7.92,0,0,0.018,0.032
48,0,0,-0.38,0,0,0.006,0.014
49,0,0,-0.13,0,0,-0.021,0
50,-1,0,-4.32,0,1,-0.011,0.014
51,0,0,0.39,0,0,0.018,0.022
52,-1,0,-1.23,0,1,0.01,0.004
53,0,0,0.27,0,0,0.016,-0.035
54,0,0,0.38,0,0,0.042,-0.026
55,0,0,0.22,0,0,-0.004,-0.012
56,1,0,1,0,-1,0.02,-0.026
57,0,0,-1.32,0,0,-0.014,0.024
58,0,0,-0.33,0,0,0.016,0.034
59,0,0,0.15,0,0,-0.011,0.028
60,0,0,-0.24,0,0,0.025,-0.009
61,-1,0,-8.67,0,0,-0.019,-0.003
62,0,0,6.84,0,1,0.005,-0.025
63,-1,0,-4.11,0,0,-0.011,0.006
64,0,0,7.37,0,1,-0.01,-0.045
65,0,0,0.58,0,0,0.009,-0.007
66,0,0,0.52,0,0,-0.002,0.009
67,1,0,0.08,0,-1,0.007,-0.018
68,0,0,-0.59,0,0,-0.002,0.026
69,1,0,0.56,0,-1,-0.007,-0.012
70,0,0,0.07,0,0,-0.027,0.003
71,0,0,-0.19,0,0,-0.001,-0.01
72,0,0,0.62,0,0,-0.008,-0.019
73,-1,0,-1.4,0,1,0.006,-0.023
74,-1,0,0.05,0,1,-0.011,0.002
75,0,0,1.13,0,0,0.027,-0.03
76,0,0,-0.12,0,0,0.02,-0.024
77,0,0,-7.92,0,-1,0.006,-0.007
78,1,0,0.53,0,-1,0.004,-0.01
79,0,0,-1.18,0,-1,0.026,0.034
80,1,0,0.29,0,-1,-0.009,-0.018
81,0,0,-0.01,0,0,0.011,0.048
82,0,0,3.5,0,0,0.01,0.058
83,-1,0,-3.56,0,0,0.021,-0.007
84,-1,0,-0.18,0,1,0.01,-0.003
85,-1,0,-0.34,0,0,-0.004,-0.007
86,0,0,0.78,0,1,0.001,0.002
87,0,0,0.05,0,0,-0.02,-0.031
88,1,0,7,0,0,0.05,0.031
89,1,0,-0.37,0,-1,0.016,0.006
90,1,0,0.39,0,-1,0.039,0.015
91,1,0,0.79,0,0,0.02,0.071
92,0,0,-0.13,0,0,-0.008,0.002
93,0,0,4.2,0,1,-0.008,0.037
94,-1,0,0.3,0,1,-0.028,-0.021
95,-1,0,-0.51,0,1,0.013,-0.042
96,-1,0,-0.27,0,1,-0.011,-0.048
97,0,0,-0.23,0,0,0.002,-0.049
98,0,0,-0.08,0,-1,-0.024,-0.037
99,2,0,1.32,0,-1,-0.03,0.014
100,1,0,-0.45,0,-2,0.021,0.021
101,1,0,-0.18,0,-1,0.007,0.037
102,0,0,-0.22,0,-1,0.012,0.018
103,-1,0,0.06,0,1,0.009,0.023
104,-2,0,-1.43,0,2,0.008,-0.008
105,-2,0,0.19,0,2,0.012,-0.031
106,-2,0,-0.24,0,2,0.02,-0.013
107,-1,0,-3.56,0,1,-0.024,-0.009
108,133,139,-91.77,-100.48,6,-0.005,-0.084
109,2385,2390,-614.49,-609.78,5,-0.038,-0.067
110,8317,8316,-1110.26,-1110.09,0,0.04,-0.113
111,16211,16231,-1201.8,-1200,0,0.011,-0.141
112,24212,24230,-1198.59,-1200,-2,-0.05,-0.147
113,32210,32230,-1212.15,-1200,0,0.003,-0.161
114,42206,40229,-1193.89,-1200,0,-0.004,-0.122
