Status,40080111
Voltage,-0.02 (-0.14)
Supply,24.1V / 0.2A/37.1C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,-4,0,0.22,0,4,0.029,-0.054
1,-3,0,-0.54,0,3,0.013,-0.088
2,0,0,-0.43,0,1,-0.002,-0.047
3,2,0,-1.68,0,-2,-0.014,-0.015
4,4,0,0.56,0,-4,0,0.009
5,3,0,0.26,0,-3,-0.008,0.058
6,1,0,-0.16,0,-2,-0.012,0.06
7,-1,0,0.65,0,1,0.027,0.018
8,-3,0,0.41,0,3,0.006,-0.009
9,-4,0,-0.93,0,4,-0.019,-0.025
10,-3,0,-1.09,0,3,0.004,-0.098
11,0,0,-0.75,0,0,-0.003,-0.071
12,2,0,-4.85,0,-2,0.017,-0.008
13,3,0,-7.7,0,-4,0.006,0.011
14,3,0,0.26,0,-4,-0.008,0.065
15,2,0,0.72,0,-2,-0.009,0.072
16,-1,0,0.77,0,1,0.009,0.042
17,-3,0,0.29,0,3,0.019,0.022
18,-4,0,-0.35,0,4,0.002,-0.052
19,-3,0,-0.37,0,3,-0.008,-0.063
20,0,0,0.24,0,0,0.016,-0.048
21,2,0,-0.31,0,-2,0.002,0.005
22,3,0,-1.11,0,-4,-0.004,-0.006
23,4,0,5.08,0,-4,0.005,0.07
24,1,0,-7.25,0,-2,0.022,0.017
25,-1,0,0.43,0,1,0.006,0.032
26,-3,0,-0.34,0,3,0.009,-0.019
27,-4,0,-0.4,0,4,0.015,-0.027
28,-2,0,-0.29,0,3,0.002,-0.037
29,0,0,-0.72,0,1,-0.005,-0.049
30,2,0,-0.99,0,-2,0.014,0.007
31,4,0,8.71,0,-4,-0.012,0.018
32,3,0,0.71,0,-4,0.016,0.075
33,1,0,-4.08,0,-2,0.019,0.039
34,-1,0,0.55,0,1,0.023,0.059
35,-3,0,0.92,0,3,0.019,-0.053
36,-4,0,1.17,0,4,0.021,-0.032
37,-2,0,7.92,0,3,-0.015,-0.07
38,0,0,-0.13,0,0,0.019,-0.055
39,2,0,-2.03,0,-2,-0.001,-0.026
40,4,0,0.22,0,-3,-0.005,0.044
41,3,0,0.67,0,-3,0.011,0.086
42,1,0,-0.12,0,-2,0.002,0.045
43,-2,0,-1.06,0,1,0.002,0.013
44,-3,0,0.43,0,3,0.016,-0.041
45,-4,0,0.44,0,4,-0.001,-0.059
46,-2,0,0,0,3,0.035,-0.064
47,0,0,0.31,0,0,-0.016,-0.071
48,2,0,-5.33,0,-2,0.004,0.012
49,3,0,-8.12,0,-4,0.004,0.03
50,3,0,1.15,0,-3,0,0.093
51,1,0,-0.31,0,-1,0.012,0.077
52,-2,0,0.33,0,1,0.039,0.009
53,-3,0,0.05,0,3,0.029,-0.016
54,-4,0,0.22,0,4,0.033,-0.042
55,-2,0,-0.08,0,2,0.028,-0.107
56,0,0,0.39,0,0,0.033,-0.06
57,2,0,-4.4,0,-2,0.007,-0.037
58,3,0,-5.2,0,-3,0.016,0.002
59,3,0,0.03,0,-3,-0.006,0.074
60,1,0,0.85,0,-2,0.024,0.077
61,-2,0,-0.23,0,1,-0.01,0.037
