Status,40080111
Voltage,0.05 (-1.78)
Supply,24.2V / 0.2A/44.1C / 3.9W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,5,0,-13.73,0,-9,-0.104,-0.26
1,1,0,-23.9,0,-7,-0.009,-0.058
2,-3,0,-68.32,0,-4,0.015,0.016
3,-7,0,1.66,0,2,0.02,0.558
4,-1,0,26.27,0,9,-0.033,0.203
5,9,0,42.03,0,-1,-0.022,-0.4
6,3,0,-13.84,0,-7,0.073,-0.296
7,-6,0,-54.58,0,-5,-0.033,0.298
8,-5,0,-20.58,0,-5,-0.018,0.477
9,-5,0,18.26,0,1,-0.008,0.519
10,2,0,66,0,5,-0.001,0.163
11,4,0,-5.74,0,5,0.035,-0.44
12,-1,0,-77.68,0,-6,0.008,-0.251
13,-7,0,-21.65,0,-5,-0.013,0.288
14,-3,0,50.86,0,3,0.033,0.376
15,4,0,75.8,0,5,0.018,0.156
16,2,0,-14.18,0,2,-0.003,-0.481
17,-6,0,-42.24,0,-6,0.003,-0.073
18,-5,0,37.9,0,4,-0.027,0.423
19,8,0,22.07,0,7,0.015,0.003
20,0,0,-53.73,0,1,0.017,-0.35
21,-6,0,-59.66,0,-5,0.016,-0.178
22,2,0,67.11,0,0,0.008,0.518
23,4,0,-8.62,0,4,0.022,-0.233
24,-5,0,-75.85,0,-5,0.055,-0.443
25,-1,0,27.67,0,0,0.004,0.263
26,5,0,21.67,0,8,0.006,0.101
27,-2,0,-56.83,0,2,-0.009,-0.494
28,-7,0,-59.68,0,-5,-0.001,-0.277
29,-5,0,18.58,0,-5,-0.031,0.125
30,7,0,60.48,0,8,-0.01,0.126
31,0,0,-15.32,0,6,0.006,-0.105
32,-3,0,-62.65,0,-7,0.005,-0.428
33,-1,0,30.4,0,-1,-0.032,0.173
34,9,0,44,0,6,0.046,0.264
35,2,0,-25.89,0,8,0.006,-0.102
36,-1,0,-74.13,0,-1,-0.018,-0.361
37,-9,0,-22.17,0,-4,0.018,-0.279
38,-1,0,16.47,0,-10,0.007,-0.013
39,4,0,89.02,0,-3,-0.01,0.387
40,8,0,-16.29,0,1,0.042,0.264
41,-3,0,-95.86,0,2,-0.033,-0.391
42,-4,0,-6.73,0,-4,0.014,-0.327
43,-1,0,22.07,0,-7,0.015,-0.038
44,8,0,39.9,0,-4,-0.007,0.373
45,1,0,-61.04,0,7,-0.003,0.075
46,-6,0,4.95,0,0,0.009,-0.39
47,-2,0,44.68,0,-5,0.015,-0.173
48,5,0,-1.78,0,4,0.018,0.525
49,-5,0,-73.53,0,8,-0.026,0.11
50,-3,0,15.69,0,-3,0.019,-0.38
51,3,0,57.36,0,-2,0.022,-0.017
52,2,0,-45.11,0,7,0.018,0.17
53,-5,0,-15.54,0,3,0.016,-0.329
54,-3,0,19.95,0,-4,0.031,-0.334
55,7,0,21.36,0,-6,0.006,0.072
56,-2,0,-36.72,0,7,0.006,0.236
57,-8,0,15.4,0,3,0.017,-0.363
58,5,0,62.04,0,-7,0.018,-0.132
59,3,0,-14.33,0,-1,-0.016,0.289
60,-4,0,-42.87,0,5,0.023,0.27
61,-6,0,2.93,0,4,0.018,-0.262
62,6,0,75.84,0,-8,-0.002,-0.199
63,5,0,-15.63,0,-3,-0.02,0.446
64,-2,0,-58.99,0,8,-0.008,0.168
65,-2,0,44.55,0,0,-0.002,-0.416
66,5,0,38.74,0,-6,0.011,-0.2
67,6,0,-26.35,0,-1,0.014,0.396
68,0,0,-40.97,0,6,0.009,0.198
69,-7,0,37.57,0,-2,-0.029,-0.448
70,3,0,22.6,0,-6,0.009,-0.229
71,4,0,-36.06,0,-2,-0.032,0.419
72,0,0,-61.94,0,5,-0.002,0.271
73,-5,0,15.33,0,4,0.008,-0.211
74,1,0,81.79,0,-6,0,-0.245
75,5,0,-32.7,0,-4,-0.017,0.423
76,-3,0,6.01,0,8,0.045,0.181
77,-3,0,22.58,0,3,-0.005,-0.375
78,7,0,52.02,0,-7,0.04,-0.131
79,4,0,-22.05,0,-2,-0.03,0.448
80,-9,0,21.93,0,7,0.005,0.025
81,1,0,29.53,0,-3,0.024,-0.458
82,5,0,-4.46,0,-3,0.02,-0.068
83,-3,0,-62.84,0,5,0.02,0.237
84,1,0,38.03,0,4,-0.021,-0.447
85,7,0,-14.72,0,-5,-0.006,-0.01
86,-7,0,-21.79,0,6,0.042,0.282
87,1,0,37.33,0,2,0.011,-0.381
88,0,0,-13.3,0,-3,0.008,-0.046
89,-4,0,-57.98,0,4,0.059,0.315
90,-1,0,40.37,0,1,0.013,-0.34
91,6,0,-0.61,0,-8,0.021,-0.071
92,-5,0,-78.92,0,4,-0.014,0.28
93,0,0,39.38,0,6,-0.021,-0.333
94,8,0,-1.44,0,-5,0.004,-0.277
