Status,40080111
Voltage,0.21 (0.06)
Supply,24.2V / 0.2A/43.3C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,2,0,1.71,0,-3,0.018,0.006
1,-3,0,-6.37,0,2,-0.026,0.022
2,0,0,-2.04,0,1,-0.005,-0.077
3,3,0,8.12,0,-3,-0.004,0.044
4,-2,0,1.43,0,1,-0.002,0.02
5,-1,0,-1.42,0,2,0.005,-0.039
6,3,0,-0.03,0,-3,0.02,0.013
7,-2,0,0.41,0,0,0.02,0.135
8,-2,0,-0.3,0,2,-0.007,-0.051
9,3,0,-0.81,0,-2,-0.003,-0.017
10,-1,0,0.77,0,0,-0.004,0.11
11,-2,0,-1.44,0,2,0.014,-0.074
12,3,0,-0.75,0,-2,0.009,0.022
13,-1,0,0.65,0,-1,0.01,0.109
14,-2,0,-0.32,0,2,0.004,-0.098
15,2,0,-0.48,0,-2,0.014,-0.037
16,0,0,0.15,0,-1,0.031,0.064
17,-2,0,0.62,0,2,-0.037,-0.109
18,3,0,7.83,0,-2,0.034,0.001
19,0,0,1.52,0,-2,0.021,0.061
20,-2,0,0.19,0,2,-0.017,-0.072
21,1,0,-0.66,0,0,0.012,-0.061
22,2,0,1.89,0,-2,-0.015,0.101
23,-2,0,-0.63,0,3,-0.007,-0.023
24,1,0,-0.79,0,0,0.008,-0.083
25,2,0,-1.11,0,-2,-0.024,0.134
26,-3,0,0.73,0,2,-0.006,-0.067
27,1,0,-1.27,0,0,0.014,-0.08
28,2,0,0.02,0,-2,-0.008,0.067
29,-3,0,0.25,0,2,-0.013,0.01
30,1,0,-0.61,0,0,-0.011,-0.067
31,2,0,-0.81,0,-2,0.04,0.098
32,-3,0,0.8,0,2,0.034,0.011
33,0,0,-1.03,0,1,0.004,-0.046
34,3,0,5.32,0,-3,-0.001,0.057
35,-2,0,0.72,0,2,0.027,0.039
36,-1,0,-0.08,0,2,0.011,-0.006
37,2,0,1.63,0,-3,-0.015,0.013
38,-2,0,0.47,0,1,0,0.063
39,-1,0,-0.74,0,2,0.013,-0.076
40,3,0,-0.14,0,-2,0.001,0.073
41,-2,0,2.14,0,0,0.014,0.095
42,-2,0,-0.07,0,2,-0.004,-0.052
43,2,0,-0.52,0,-2,0.019,-0.001
44,0,0,1.37,0,-1,0.016,0.079
45,-2,0,0.15,0,2,0.005,-0.118
46,2,0,-0.39,0,-1,-0.01,-0.054
47,1,0,0.42,0,-2,-0.016,0.104
48,-2,0,0.43,0,2,-0.024,-0.064
49,0,0,-0.85,0,1,-0.014,-0.03
50,2,0,0.81,0,-3,0.009,0.026
51,-2,0,7.13,0,2,-0.008,0.081
52,-1,0,0.09,0,2,0.009,-0.12
53,3,0,0.11,0,-3,0.002,0.005
54,-2,0,0.94,0,1,-0.001,0.087
55,-1,0,-0.07,0,2,-0.012,-0.02
56,3,0,-0.6,0,-2,0.03,0.016
57,-1,0,-0.3,0,0,0.007,0.067
58,-2,0,-0.36,0,2,-0.008,-0.052
59,3,0,-1.03,0,-2,-0.008,0.002
