Status,40080111
Voltage,-0.12 (0.00)
Supply,24.1V / 0.2A/43.2C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,0,0,-0.5,0,0,0.027,0.006
1,1,0,-1.49,0,-1,0.009,-0.007
2,0,0,0.41,0,0,0.002,-0.015
3,0,0,0.29,0,0,0,-0.042
4,-1,0,1.7,0,0,0.007,-0.066
5,0,0,0.48,0,0,0.014,-0.016
6,0,0,-7.47,0,-1,-0.019,0.046
7,0,0,0.54,0,0,-0.023,0.031
8,0,0,0.2,0,0,0.041,-0.01
9,0,0,0.63,0,0,0.002,-0.042
10,-1,0,-7.51,0,1,0.032,-0.093
11,0,0,-0.92,0,0,0,0
12,0,0,-8.01,0,0,-0.006,0.001
13,1,0,8.62,0,-1,-0.01,-0.018
14,0,0,-0.65,0,0,-0.011,-0.009
15,0,0,0.53,0,0,0.001,0.037
16,0,0,-0.31,0,0,0.004,-0.069
17,0,0,0.1,0,0,0.019,0.013
18,1,0,-1.01,0,0,0.032,0.01
19,0,0,1.1,0,0,0.022,0.008
20,0,0,-0.14,0,0,-0.004,-0.035
21,-1,0,1.24,0,1,0.009,0.014
22,0,0,-0.64,0,0,0.001,-0.041
23,1,0,7.23,0,0,0.002,-0.008
24,1,0,5.13,0,-1,0.014,0.004
25,0,0,0.32,0,0,-0.003,-0.032
26,-1,0,0.21,0,0,0.025,-0.062
27,0,0,0.86,0,0,0.016,-0.028
28,0,0,0.46,0,-1,0.005,-0.004
29,0,0,-5.58,0,-1,0.001,0.012
30,0,0,-0.29,0,0,-0.002,-0.002
31,-1,0,0.37,0,1,0.001,-0.032
32,0,0,-0.66,0,0,-0.044,-0.042
33,0,0,-0.05,0,0,-0.013,-0.017
34,1,0,-1.59,0,0,0.009,0.003
35,0,0,-0.58,0,-1,0.025,0.031
36,0,0,0.08,0,0,0.026,-0.02
37,0,0,5.09,0,0,-0.015,-0.009
38,1,0,-6.66,0,-1,-0.004,-0.051
39,486,250,-237.3,-148.77,1,-0.013,-0.014
40,3879,2969,-813.03,-688.95,0,-0.022,-0.126
41,10738,9317,-1172.16,-1147.35,-2,0.056,-0.136
42,18729,17271,-1191.83,-1200,-2,0.052,-0.13
43,26728,25270,-1199.99,-1200,-2,-0.003,-0.146
44,34728,33289,-1199.29,-1200,-2,0.05,-0.145
45,42727,41289,-1217.44,-1200,-2,0.089,-0.209
46,50726,49288,-1199.39,-1200,-2,-0.009,-0.172
47,58727,57288,-1184.04,-1200,-2,0.034,-0.175
48,66726,65308,-1199.08,-1200,-2,0.058,-0.158
49,74727,73308,-1207.93,-1200,-2,0.019,-0.175
50,82727,81289,-1199.99,-1200,-3,0.026,-0.057
51,90726,89308,-1198.96,-1200,-2,-0.008,-0.146
52,98727,97308,-1176.21,-1200,-2,0.079,-0.142
53,106726,105328,-1198.91,-1200,-2,0.033,-0.151
54,114725,113327,-1206.2,-1200,-2,0,-0.146
55,122726,121327,-1182.35,-1200,-2,0.032,-0.14
56,130724,129346,-1201.84,-1200,-2,0.024,-0.185
57,138724,137326,-1199.05,-1200,-2,0.049,-0.183
58,146724,145346,-1202.09,-1200,-2,0.046,-0.188
59,154725,153346,-1183.69,-1200,-2,0.078,-0.187
