,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
0,-0.11,-0.09,-0.071,-0.102,-0.256,0.01,-0.26,0.006,0.006,0.184,-0.203,0.002,-0.414
1,0.063,0.029,0.008,-0.219,-0.249,-0.14,-0.058,0.022,-0.007,-0.093,-0.173,0.119,0.061
2,0.011,0.039,0.08,0.031,0.075,-0.184,0.016,-0.077,-0.015,-0.281,-0.178,-0.056,-0.775
3,-0.08,-0.097,-0.068,0.042,-0.231,0.024,0.558,0.044,-0.042,0.324,-0.09,-0.028,-0.346
4,-0.035,0.027,-0.079,-0.259,-0.154,-0.005,0.203,0.02,-0.066,0.199,-0.174,0.042,0.121
5,0.056,0.005,0.085,-0.044,0.083,-0.156,-0.4,-0.039,-0.016,-0.065,-0.188,-0.079,-0.824
6,-0.028,-0.117,0.002,0.06,-0.274,-0.019,-0.296,0.013,0.046,-0.125,-0.149,-0.09,-0.235
7,-0.091,-0.049,-0.127,-0.209,-0.045,0.0,0.298,0.135,0.031,-0.353,-0.232,0.107,0.084
8,0.032,0.131,-0.009,-0.105,0.11,-0.18,0.477,-0.051,-0.01,-0.194,-0.182,-0.055,-0.853
9,0.069,-0.062,0.035,0.057,-0.299,-0.105,0.519,-0.017,-0.042,0.291,-0.141,-0.051,-0.18
10,-0.063,-0.055,-0.011,-0.209,-0.012,0.057,0.163,0.11,-0.093,-0.25,-0.235,0.076,0.101
11,0.013,0.133,-0.198,-0.228,-0.097,-0.171,-0.44,-0.074,0.0,-0.305,-0.201,0.002,-0.814
12,0.104,-0.085,0.033,0.025,-0.295,-0.206,-0.251,0.022,0.001,-0.2,-0.239,-0.046,-0.129
13,-0.136,-0.179,0.014,-0.166,0.051,0.025,0.288,0.109,-0.018,-0.092,-0.117,0.097,0.064
14,-0.026,0.022,-0.011,-0.201,-0.255,-0.005,0.376,-0.098,-0.009,0.215,-0.051,-0.058,-0.873
15,0.072,0.055,-0.053,0.016,-0.265,-0.248,0.156,-0.037,0.037,0.24,0.013,-0.036,-0.115
16,0.009,-0.096,0.092,-0.104,0.048,-0.094,-0.481,0.064,-0.069,-0.117,0.062,0.036,0.058
17,-0.112,0.018,0.041,-0.233,-0.184,0.028,-0.073,-0.109,0.013,-0.375,0.154,-0.033,-0.843
18,0.002,0.098,-0.064,0.021,-0.246,-0.195,0.423,0.001,0.01,-0.175,0.139,-0.112,-0.155
19,0.124,-0.129,0.009,0.035,0.062,-0.074,0.003,0.061,0.008,0.197,0.124,0.094,-0.032
20,-0.05,-0.033,0.085,-0.237,-0.136,0.041,-0.35,-0.072,-0.035,0.319,0.194,0.001,-1.059
21,-0.029,0.087,-0.064,-0.027,-0.286,-0.092,-0.178,-0.061,0.014,0.212,0.253,-0.109,-0.391
22,0.036,-0.099,-0.061,0.029,0.016,-0.119,0.518,0.101,-0.041,0.018,0.174,0.072,-0.151
23,-0.023,-0.076,0.007,-0.314,-0.232,0.052,-0.233,-0.023,-0.008,-0.282,0.21,-0.022,-0.169
24,-0.088,0.074,-0.025,-0.035,-0.304,-0.085,-0.443,-0.083,0.004,-0.269,0.218,-0.107,-0.113
25,0.003,-0.003,-0.114,0.071,0.089,-0.178,0.263,0.134,-0.032,-0.056,0.245,0.059,-0.072
26,0.058,-0.151,-0.027,-0.222,-0.234,-0.003,0.101,-0.067,-0.062,0.29,0.191,-0.046,-0.183
27,-0.05,0.042,0.049,-0.109,-0.17,-0.016,-0.494,-0.08,-0.028,0.28,0.189,-0.126,-0.156
28,-0.07,0.095,-0.032,0.075,0.079,-0.164,-0.277,0.067,-0.004,0.048,0.187,0.007,-0.137
29,0.111,-0.103,-0.15,-0.201,-0.292,-0.034,0.125,0.01,0.012,-0.448,0.201,-0.026,-0.127
30,-0.059,0.055,0.045,-0.176,-0.103,0.021,0.126,-0.067,-0.002,-0.189,0.204,-0.048,-0.152
31,-0.031,0.025,0.001,-0.011,0.05,-0.142,-0.105,0.098,-0.032,0.229,0.134,-0.008,-0.154
32,0.009,-0.132,-0.049,-0.17,-0.283,-0.214,-0.428,0.011,-0.042,0.166,0.181,-0.011,-0.192
33,0.083,-0.055,-0.053,-0.25,0.005,0.013,0.173,-0.046,-0.017,-0.263,0.191,-0.147,-0.101
34,-0.06,0.101,-0.009,0.006,0.021,-0.053,0.264,0.057,0.003,-0.119,0.177,0.044,-0.133
35,0.017,-0.127,0.006,-0.109,-0.279,-0.193,-0.102,0.039,0.031,0.289,0.149,0.002,-0.158
36,0.06,-0.048,-0.1,-0.205,0.021,0.0,-0.361,-0.006,-0.02,-0.093,0.137,-0.12,-0.069
37,-0.025,0.088,-0.02,-0.017,-0.095,0.004,-0.279,0.013,-0.009,-0.305,0.182,0.036,-0.091
38,-0.028,-0.058,-0.011,-0.039,-0.258,-0.154,-0.013,0.063,-0.051,-0.149,0.155,-0.011,-0.127
