Status,40080115
Voltage,0.39 (-1.89)
Supply,24.2V / 0.2A/44.6C / 3.8W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,2,0,42.06,0,5,0.009,-0.137
1,0,0,-17.47,0,-5,0.03,-0.061
2,5,0,41.59,0,2,-0.021,-0.136
3,-4,0,-55.95,0,-3,0.003,0.398
4,5,0,-0.84,0,-1,0.002,-0.316
5,-6,0,6.21,0,5,0.006,0.342
6,3,0,-13.93,0,-6,-0.007,-0.291
7,-3,0,8.81,0,5,0.003,0.239
8,4,0,31.31,0,3,-0.004,-0.364
9,-4,0,6.81,0,1,-0.023,0.373
10,-1,0,-41.68,0,-7,0.019,-0.039
11,5,0,21.26,0,3,-0.023,-0.157
12,0,0,17.99,0,0,0.017,0.365
13,2,0,-17.39,0,-2,-0.018,-0.338
14,-4,0,18.49,0,-1,-0.033,0.332
15,1,0,-16.08,0,0,0.003,-0.294
16,5,0,41.64,0,4,0.036,0.044
17,-5,0,12.7,0,-2,0.01,0.177
18,2,0,-25.3,0,2,-0.001,-0.257
19,6,0,43.93,0,2,0.039,0.34
20,-3,0,-31.75,0,-6,-0.001,0.008
21,2,0,-17.43,0,0,-0.018,-0.297
22,1,0,28.04,0,1,-0.021,0.352
23,-4,0,-59.28,0,-4,-0.067,-0.145
24,4,0,17.69,0,5,0.067,0.143
25,-7,0,-33.17,0,-4,-0.081,-0.095
26,5,0,-11.44,0,5,0.035,0.069
27,-4,0,14.6,0,-3,0.009,0.072
28,0,0,-12.46,0,2,0.009,-0.162
29,2,0,44.08,0,-3,0.002,0.21
30,-4,0,-33.86,0,-2,-0.018,-0.292
31,4,0,63.95,0,1,-0.024,0.437
32,-5,0,-50.1,0,-3,0.023,-0.274
33,-2,0,-18.53,0,2,0.025,-0.209
34,5,0,23.02,0,4,0.017,0.322
35,-5,0,-15.6,0,-4,-0.043,-0.128
36,3,0,-10.28,0,4,-0.012,0.212
37,2,0,25.85,0,-4,0.004,0.176
38,-4,0,-58.92,0,1,0.023,-0.3
39,4,0,-6.91,0,3,-0.059,0.289
40,-2,0,5.93,0,-6,0.022,-0.201
41,-2,0,-46.92,0,2,-0.015,-0.087
42,4,0,-0.76,0,2,-0.016,0.373
43,-5,0,18.28,0,-1,0.024,-0.215
44,-3,0,-41.91,0,6,0.001,0.036
45,2,0,35.31,0,-3,-0.013,0.033
46,-5,0,-48.06,0,3,-0.001,-0.1
47,6,0,17.29,0,-1,-0.012,0.396
48,-4,0,15.94,0,-1,-0.001,-0.291
49,-3,0,-37.83,0,7,0.014,0.164
50,5,0,51.65,0,-4,-0.009,0.088
51,-2,0,9.95,0,-3,0.009,-0.356
52,0,0,-44.58,0,4,-0.024,0.25
53,6,0,34.08,0,-5,-0.018,0.078
54,-3,0,-16.17,0,-1,-0.006,-0.144
55,0,0,-24.78,0,2,0.017,0.211
56,3,0,36.53,0,-5,-0.003,-0.092
57,-4,0,-47.95,0,4,-0.01,0.224
58,2,0,-15.67,0,0,-0.011,0.284
59,3,0,27.69,0,-4,-0.041,-0.154
60,5,0,12.7,0,3,-0.02,-0.06
61,-2,0,-37.2,0,3,0.024,0.306
62,0,0,25.26,0,-3,-0.03,-0.21
63,6,0,-17.26,0,6,0.015,0.183
64,-2,0,-54.58,0,-1,-0.037,0.263
65,-5,0,18.79,0,-6,0.001,-0.064
66,-1,0,52.29,0,-2,0.015,-0.266
67,4,0,-16.31,0,4,-0.012,0.089
68,-7,0,-0.3,0,-5,0.005,-0.065
69,3,0,42.51,0,3,0.038,-0.332
70,4,0,-5.56,0,7,-0.04,0.252
71,-1,0,-49.1,0,-2,-0.053,0.287
72,-5,0,37.29,0,-2,-0.078,-0.176
73,4,0,-18.01,0,5,-0.012,0.145
74,1,0,36.37,0,2,-0.03,0.318
75,-5,0,-8.54,0,-6,-0.045,-0.169
76,-2,0,-29.25,0,2,-0.021,-0.172
77,5,0,7.36,0,2,0.034,0.312
78,-1,0,25.01,0,-4,-0.008,0.136
79,-5,0,1.36,0,-5,-0.068,-0.117
80,0,0,-22,0,3,-0.021,-0.246
81,5,0,16.29,0,5,0.008,0.319
82,0,0,31.98,0,-6,0.002,0.102
83,0,0,14.98,0,-5,-0.034,-0.231
84,-4,0,-41.17,0,-2,-0.005,-0.339
85,-1,0,-23.89,0,4,-0.01,0.141
86,3,0,-14.26,0,3,-0.05,0.226
87,6,0,87.41,0,-2,-0.016,0.153
88,3,0,33.54,0,-7,0,-0.073
89,-6,0,-61.38,0,0,0,-0.384
90,-5,0,-64.92,0,4,0.016,-0.052
91,3,0,-13.45,0,5,-0.019,0.163
92,4,0,45.41,0,-4,-0.017,0.094
93,-2,0,27.18,0,-4,-0.011,-0.155
94,-7,0,-59.38,0,5,0.007,-0.289
95,-3,0,-48.59,0,4,0.012,0.112
96,4,0,-0.9,0,0,0.004,0.295
97,1,0,12.65,0,-2,-0.031,-0.271
98,-6,0,0.71,0,4,-0.019,-0.211
99,-5,0,-54.66,0,5,0.043,0.184
100,2,0,-13.09,0,1,0.006,0.379
101,6,0,23.31,0,-4,0.02,-0.007
102,-1,0,15.23,0,1,0,-0.338
103,-5,0,-6.54,0,3,-0.007,-0.101
104,-2,0,-70.64,0,7,-0.065,0.304
105,-2,0,-55.72,0,3,0.011,0.289
106,2,0,-19.33,0,-1,0.001,0.366
107,4,0,35.99,0,-6,0.006,-0.007
108,-1,0,26.1,0,2,-0.01,-0.145
109,-6,0,-36.26,0,7,0.022,0.107
110,0,0,-46.09,0,-1,-0.038,0.361
111,5,0,-12.78,0,-6,-0.032,-0.046
112,3,0,48.27,0,-3,0.02,-0.238
113,4,0,47.92,0,-2,-0.028,-0.376
114,1,0,28.79,0,3,-0.022,-0.213
115,-4,0,13.86,0,6,0.026,0.105
116,-6,0,12.86,0,4,0.006,0.204
117,-5,0,-16.1,0,2,0.061,0.358
118,-6,0,-17.91,0,5,-0.02,0.141
119,-5,0,-42.31,0,6,-0.002,0.219
120,-4,0,-32.03,0,-5,-0.016,0.119
121,3,0,-23.18,0,-5,-0.001,-0.075
122,5,0,6.36,0,-3,-0.003,-0.361
123,6,0,43.47,0,2,-0.022,-0.364
124,5,0,40.26,0,-1,0.023,-0.317
125,4,0,34.64,0,4,0.001,-0.117
126,4,0,56.07,0,3,-0.037,-0.119
127,5,0,47.71,0,4,-0.003,-0.116
128,4,0,45.8,0,4,0.028,0.026
129,2,0,46.67,0,4,0.007,-0.072
130,2,0,54.61,0,6,-0.008,-0.038
131,3,0,34.33,0,6,0.024,-0.051
132,0,0,13.88,0,5,0.05,0.189
133,-2,0,17.85,0,5,0.06,0.242
134,-1,0,14.75,0,4,0.026,0.287
135,1,0,65.53,0,3,-0.024,0.17
136,0,0,28.61,0,7,0.028,0.26
137,0,0,25.26,0,-1,0.017,0.411
138,-1,0,23.38,0,5,-0.033,0.315
139,5,0,60.41,0,6,0.033,0.285
140,7,0,33.43,0,3,0.028,0.133
141,3,0,56.19,0,5,-0.002,0.286
142,3,0,46.85,0,3,0.03,0.188
143,5,0,58.39,0,5,-0.012,0.173
144,5,0,34.02,0,6,0.025,0.004
145,8,0,24.68,0,6,0.004,0.006
146,2,0,-20.87,0,2,-0.012,-0.29
147,-1,0,-35.98,0,-1,-0.005,-0.294
148,-5,0,-57.44,0,-1,0,-0.264
149,-7,0,-20.21,0,-6,-0.028,-0.102
150,-4,0,15.82,0,-6,0.012,-0.02
151,4,0,37.94,0,1,-0.007,0.416
152,6,0,42.7,0,1,0.007,0.304
153,3,0,-9.82,0,7,0.035,0.151
154,-5,0,-72.28,0,3,-0.018,-0.413
155,-7,0,-44.08,0,-2,0.006,-0.323
156,0,0,45.13,0,-3,0.004,0.198
157,6,0,-3.87,0,4,-0.029,0.161
158,0,0,-59.55,0,3,-0.009,-0.129
159,281,117,-175.11,-89.15,1,0.03,0.007
160,3087,2239,-696.07,-588.78,0,0.014,-0.189
161,9509,8058,-1158.47,-1099.55,0,-0.041,-0.162
162,17471,15931,-1200.35,-1200,1,-0.031,-0.237
163,25469,23950,-1199.87,-1200,0,-0.112,-0.095
164,33469,31950,-1200.29,-1200,1,-0.015,-0.107
165,41468,39949,-1203.75,-1200,0,0.005,-0.143
166,49467,47968,-1208.25,-1200,0,-0.038,-0.101
167,57468,55968,-1200.47,-1200,0,-0.036,-0.096
168,65468,63968,-1199.64,-1200,0,-0.033,-0.153
